;  Henke constants used in calculating transmissions
;	Transmission = exp( -1. * thickness_in_Angstroms / mu )
;	where "mu" is the Henke constant listed below
;
;	Tom Woods
;	26 May 2005
;
;	NOTE:  XPS responsitivity is calculated using "SiO" as separate item
;	instead of using Si and O separately.
;
FORMAT = (F10.3,6E11.3)
 301 lines : Henke constants from Tom Woods for comparison
 7 columns : Wavelength_Angstrom  mu_Ti   mu_Al  mu_C   mu_Si   mu_SiO   mu_O
    28.021  6.362E+03  3.599E+03  2.761E+03  3.542E+03  5.416E+03  1.795E+04
    27.283  6.699E+03  3.845E+03  2.950E+03  3.769E+03  5.765E+03  1.922E+04
    26.564  7.717E+02  4.107E+03  3.151E+03  4.010E+03  6.137E+03  2.058E+04
    25.865  8.174E+02  4.387E+03  3.367E+03  4.266E+03  6.532E+03  2.203E+04
    25.183  8.659E+02  4.688E+03  3.600E+03  4.538E+03  6.953E+03  2.358E+04
    24.520  9.173E+02  5.012E+03  3.851E+03  4.828E+03  7.401E+03  2.524E+04
    23.875  9.716E+02  5.366E+03  4.120E+03  5.138E+03  7.879E+03  2.703E+04
    23.246  1.029E+03  5.743E+03  4.407E+03  5.495E+03  8.427E+03  2.893E+04
    22.634  1.090E+03  6.146E+03  4.715E+03  5.879E+03  3.712E+03  1.593E+03
    22.038  1.155E+03  6.583E+03  5.044E+03  6.290E+03  3.967E+03  1.701E+03
    21.457  1.059E+03  7.062E+03  5.396E+03  6.729E+03  4.238E+03  1.816E+03
    20.892  1.123E+03  7.580E+03  5.772E+03  7.199E+03  4.525E+03  1.936E+03
    20.342  1.192E+03  8.138E+03  6.175E+03  7.702E+03  4.830E+03  2.064E+03
    19.806  1.264E+03  8.737E+03  6.606E+03  8.240E+03  5.157E+03  2.201E+03
    19.285  1.342E+03  9.396E+03  7.067E+03  8.815E+03  5.513E+03  2.352E+03
    18.777  1.429E+03  1.013E+04  7.560E+03  9.431E+03  5.906E+03  2.522E+03
    18.283  1.519E+03  1.091E+04  8.084E+03  1.010E+04  6.324E+03  2.699E+03
    17.801  1.607E+03  1.167E+04  8.618E+03  1.085E+04  6.749E+03  2.871E+03
    17.332  1.704E+03  1.250E+04  9.221E+03  1.164E+04  7.212E+03  3.059E+03
    16.876  1.814E+03  1.343E+04  9.916E+03  1.250E+04  7.723E+03  3.271E+03
    16.431  1.931E+03  1.443E+04  1.067E+04  1.342E+04  8.269E+03  3.498E+03
    15.999  2.056E+03  1.550E+04  1.147E+04  1.440E+04  8.857E+03  3.741E+03
    15.577  2.191E+03  1.667E+04  1.234E+04  1.546E+04  9.499E+03  4.010E+03
    15.167  2.334E+03  1.793E+04  1.327E+04  1.657E+04  1.019E+04  4.302E+03
    14.768  2.488E+03  1.928E+04  1.427E+04  1.776E+04  1.092E+04  4.613E+03
    14.379  2.652E+03  2.074E+04  1.536E+04  1.903E+04  1.170E+04  4.939E+03
    14.000  2.827E+03  2.231E+04  1.653E+04  2.040E+04  1.251E+04  5.277E+03
    13.631  3.014E+03  2.400E+04  1.779E+04  2.186E+04  1.338E+04  5.637E+03
    13.272  3.215E+03  2.583E+04  1.915E+04  2.346E+04  1.433E+04  6.031E+03
    12.923  3.433E+03  2.779E+04  2.062E+04  2.525E+04  1.539E+04  6.469E+03
    12.582  3.666E+03  2.990E+04  2.220E+04  2.716E+04  1.654E+04  6.943E+03
    12.251  3.915E+03  3.216E+04  2.390E+04  2.857E+04  1.761E+04  7.451E+03
    11.928  4.180E+03  3.454E+04  2.573E+04  3.042E+04  1.884E+04  7.991E+03
    11.614  4.467E+03  3.717E+04  2.775E+04  3.264E+04  2.022E+04  8.579E+03
    11.308  4.775E+03  4.001E+04  2.992E+04  3.502E+04  2.170E+04  9.211E+03
    11.011  5.104E+03  4.307E+04  3.226E+04  3.758E+04  2.330E+04  9.888E+03
    10.720  5.456E+03  4.637E+04  3.479E+04  4.033E+04  2.501E+04  1.062E+04
    10.439  5.831E+03  4.991E+04  3.750E+04  4.329E+04  2.685E+04  1.140E+04
    10.163  6.233E+03  5.373E+04  4.044E+04  4.647E+04  2.882E+04  1.224E+04
     9.896  6.663E+03  5.782E+04  4.362E+04  4.988E+04  3.095E+04  1.314E+04
     9.635  7.130E+03  6.216E+04  4.709E+04  5.355E+04  3.325E+04  1.412E+04
     9.382  7.632E+03  6.681E+04  5.085E+04  5.751E+04  3.572E+04  1.518E+04
     9.134  8.169E+03  7.180E+04  5.491E+04  6.178E+04  3.839E+04  1.631E+04
     8.894  8.744E+03  7.716E+04  5.930E+04  6.636E+04  4.125E+04  1.754E+04
     8.660  9.359E+03  8.293E+04  6.404E+04  7.130E+04  4.433E+04  1.885E+04
     8.432  1.002E+04  8.917E+04  6.915E+04  7.662E+04  4.765E+04  2.026E+04
     8.209  1.074E+04  9.613E+04  7.471E+04  8.240E+04  5.125E+04  2.180E+04
     7.993  1.151E+04  1.040E+05  8.072E+04  8.875E+04  5.518E+04  2.346E+04
     7.783  1.235E+04  9.344E+03  8.723E+04  9.561E+04  5.942E+04  2.526E+04
     7.578  1.325E+04  9.951E+03  9.426E+04  1.030E+05  6.398E+04  2.719E+04
     7.378  1.421E+04  1.060E+04  1.019E+05  1.109E+05  6.889E+04  2.927E+04
     7.184  1.524E+04  1.129E+04  1.101E+05  1.195E+05  7.418E+04  3.150E+04
     6.995  1.635E+04  1.205E+04  1.190E+05  1.290E+05  7.997E+04  3.394E+04
     6.811  1.755E+04  1.288E+04  1.287E+05  1.394E+05  8.626E+04  3.657E+04
     6.631  1.885E+04  1.376E+04  1.392E+05  1.318E+04  1.908E+04  3.940E+04
     6.457  2.023E+04  1.470E+04  1.505E+05  1.405E+04  2.037E+04  4.245E+04
     6.287  2.172E+04  1.571E+04  1.628E+05  1.497E+04  2.174E+04  4.574E+04
     6.121  2.331E+04  1.678E+04  1.760E+05  1.596E+04  2.320E+04  4.928E+04
     5.960  2.503E+04  1.796E+04  1.904E+05  1.703E+04  2.479E+04  5.311E+04
     5.803  2.688E+04  1.923E+04  2.060E+05  1.819E+04  2.651E+04  5.726E+04
     5.650  2.887E+04  2.060E+04  2.229E+05  1.944E+04  2.836E+04  6.175E+04
     5.501  3.101E+04  2.208E+04  2.412E+05  2.079E+04  3.036E+04  6.659E+04
     5.356  3.331E+04  2.367E+04  2.611E+05  2.224E+04  3.251E+04  7.182E+04
     5.215  3.578E+04  2.539E+04  2.826E+05  2.380E+04  3.483E+04  7.748E+04
     5.078  3.845E+04  2.725E+04  3.060E+05  2.549E+04  3.734E+04  8.360E+04
     4.944  4.130E+04  2.925E+04  3.313E+05  2.731E+04  4.003E+04  9.021E+04
     4.814  4.438E+04  3.140E+04  3.587E+05  2.927E+04  4.294E+04  9.736E+04
     4.687  4.769E+04  3.373E+04  3.885E+05  3.138E+04  4.608E+04  1.051E+05
     4.564  5.125E+04  3.624E+04  4.208E+05  3.366E+04  4.946E+04  1.135E+05
     4.444  5.508E+04  3.895E+04  4.558E+05  3.612E+04  5.311E+04  1.225E+05
     4.327  5.920E+04  4.187E+04  4.938E+05  3.876E+04  5.705E+04  1.323E+05
     4.213  6.363E+04  4.502E+04  5.351E+05  4.162E+04  6.130E+04  1.429E+05
     4.102  6.839E+04  4.843E+04  5.798E+05  4.471E+04  6.588E+04  1.544E+05
     3.994  7.351E+04  5.210E+04  6.284E+05  4.803E+04  7.083E+04  1.669E+05
     3.889  7.902E+04  5.606E+04  6.812E+05  5.162E+04  7.617E+04  1.804E+05
     3.786  8.495E+04  6.035E+04  7.385E+05  5.549E+04  8.194E+04  1.950E+05
     3.686  9.132E+04  6.497E+04  8.007E+05  5.967E+04  8.817E+04  2.109E+05
