; #
; # NRLEUV Quiet Sun Irradiances from 50-1200 A
; # File generated: Thu Jun 24 12:29:02 2004   by  Harry Warren, NRL
; #
; # Wavelengths are in angstroms.
; # Irradiances are in photons/cm^2/sec.
; #
; # Wavelength bins are centered, i.e., 50.5 corresponds
; # to wavelengths greater or equal to 50 A and less
; # than 51 A.
; # 
; # WAVELENGTH IRRADIANCE
 1200 lines  :  NRLEUV Version 2 Quiet Sun irradiance
    2 columns :  wavelength (Angstroms), irradiance (photons/cm^2/sec)
     503.5   2.861e+07
     504.5   9.926e+04
     505.5   1.094e+05
     506.5   1.179e+06
     507.5   5.882e+07
     508.5   7.341e+07
     509.5   1.135e+05
     510.5   1.045e+06
     511.5   1.239e+05
     512.5   8.601e+06
     513.5   1.191e+05
     514.5   1.200e+05
     515.5   2.740e+07
     516.5   6.752e+05
     517.5   1.396e+05
     518.5   1.758e+06
     519.5   2.711e+06
     520.5   1.492e+07
     521.5   3.511e+06
     522.5   4.951e+07
     523.5   1.709e+05
     524.5   1.523e+05
     525.5   6.186e+07
     526.5   1.276e+06
     527.5   3.327e+05
     528.5   1.873e+05
     529.5   3.042e+05
     530.5   6.133e+05
     531.5   2.790e+05
     532.5   1.223e+06
     533.5   6.288e+05
     534.5   1.784e+05
     535.5   4.861e+05
     536.5   2.112e+06
     537.5   1.372e+08
     538.5   7.566e+07
     539.5   3.663e+05
     540.5   2.041e+05
     541.5   8.334e+06
     542.5   1.647e+07
     543.5   2.452e+07
     544.5   3.266e+05
     545.5   1.875e+06
     546.5   2.272e+05
     547.5   2.528e+05
     548.5   2.462e+05
     549.5   2.369e+05
     550.5   1.023e+07
     551.5   1.765e+06
     552.5   3.404e+05
     553.5   8.423e+07
     554.5   5.793e+08
     555.5   8.555e+07
     556.5   2.712e+05
     557.5   4.416e+07
     558.5   3.716e+07
     559.5   4.389e+06
     560.5   1.115e+06
     561.5   1.659e+07
     562.5   6.320e+07
     563.5   1.048e+06
     564.5   5.079e+06
     565.5   6.155e+05
     566.5   3.898e+06
     567.5   3.351e+05
     568.5   1.194e+07
     569.5   2.000e+07
     570.5   5.255e+05
     571.5   3.619e+05
     572.5   3.201e+07
     573.5   3.835e+05
     574.5   3.461e+07
     575.5   8.867e+05
     576.5   2.820e+06
     577.5   4.064e+05
     578.5   4.202e+05
     579.5   6.475e+05
     580.5   1.633e+07
     581.5   4.650e+05
     582.5   4.477e+05
     583.5   4.564e+05
     584.5   1.090e+09
     585.5   2.486e+07
     586.5   4.843e+05
     587.5   4.944e+05
     588.5   5.137e+05
     589.5   5.304e+05
     590.5   5.535e+05
     591.5   5.381e+05
     592.5   5.518e+05
     593.5   4.340e+06
     594.5   5.646e+05
     595.5   5.795e+05
     596.5   2.034e+06
     597.5   9.940e+06
     598.5   6.104e+05
     599.5   1.626e+08
     600.5   7.292e+05
     601.5   1.120e+06
     602.5   9.413e+05
     603.5   6.847e+05
     604.5   1.934e+06
     605.5   7.112e+05
     606.5   7.445e+05
     607.5   7.507e+05
     608.5   7.010e+07
     609.5   4.557e+08
     610.5   2.898e+06
     611.5   3.431e+06
     612.5   8.392e+05
     613.5   8.388e+05
     614.5   8.487e+05
     615.5   9.156e+05
     616.5   3.356e+06
     617.5   2.544e+06
     618.5   9.352e+05
     619.5   9.817e+05
     620.5   1.035e+06
     621.5   3.089e+06
     622.5   9.684e+05
     623.5   2.409e+06
     624.5   1.724e+08
     625.5   3.953e+06
     626.5   1.477e+06
     627.5   1.086e+06
     628.5   2.910e+06
     629.5   1.414e+09
     630.5   1.498e+06
     631.5   1.257e+06
     632.5   1.188e+06
     633.5   1.254e+06
     634.5   1.355e+06
     635.5   1.244e+06
     636.5   1.273e+06
     637.5   7.144e+06
     638.5   1.431e+06
     639.5   6.851e+06
     640.5   1.368e+06
     641.5   1.738e+06
     642.5   1.475e+06
     643.5   1.450e+06
