; Solar UV Spectra for Solar Cycle 22 Conditions
;  
; Spectra are based on UARS SOLSTICE measurements from 119 to 420 nm
; and a 1994 rocket measurement and AE-E relative variability from 0 to 119 nm
;  
; You can read this data file using the IDL procedure called  read_dat.pro
;  
; Column 1:  wavelength in nm
; Column 2:  solar minimum irradiance in units of photons/sec/cm^2
; Column 3:  27-day variability for 1992/032 (max/min)
; Column 4:  11-year variability for solar cycle 22 (max/min)
;  
; REFERENCE:
; Tom Woods and Gary Rottman, Solar ultraviolet variability over time periods
; of aeronomic interest, in Comparative Aeronomy in the Solar System, edited
; by M. Mendillo, A. Nagy, and J. Hunter Waite, Jr., Geophys. Monograph Series,
; Wash. DC, pp. 221-234, 2002.
;  
; Revised 10/25/01 to include YOHKOH SXT and GOES XRS values below 3 nm
;
; Revised 10/04/02 to include TIMED/NRLEUV results below 30 nm and 
;		   to extend UARS data from 200 nm up to 420 nm
;
; Revised 5/3/04   to update irradiance for 9-14 nm based on Mewe model
;			increased by factor of 2 at 9.5 nm to 30 at 13.5 nm
;
; Revised 12/9/04  to update irradiance for 3-27 nm based on HEUVAC model
;
FORMAT = (F8.1,E12.4,2F10.5)
 420 lines : Reference Spectra 0-420 nm, Tom Woods, LASP/CU, 9/20/02
 4 columns : Wavelength_nm  Irradiance_ph/s/cm^2   27-Day_Ratio  SC_Ratio
   244.5  8.0257E+12   1.01246   1.02866
   245.5  6.1989E+12   1.01379   1.03172
   246.5  6.2859E+12   1.01173   1.02698
   247.5  7.3489E+12   1.01204   1.02770
   248.5  5.6425E+12   1.01472   1.03386
   249.5  7.3097E+12   1.01105   1.02541
   250.5  7.7364E+12   1.01316   1.03026
   251.5  5.8571E+12   1.01187   1.02729
   252.5  5.1524E+12   1.01292   1.02971
   253.5  6.7759E+12   1.01080   1.02483
   254.5  7.4208E+12   1.00908   1.02089
   255.5  1.0796E+13   1.00637   1.01465
   256.5  1.3111E+13   1.00432   1.00993
   257.5  1.6472E+13   1.00213   1.00491
   258.5  1.7574E+13   1.00277   1.00636
   259.5  1.4427E+13   1.00896   1.02061
   260.5  1.1714E+13   1.00817   1.01879
   261.5  1.1567E+13   1.00967   1.02225
   262.5  1.4630E+13   1.00972   1.02236
   263.5  2.1590E+13   1.00181   1.00417
   264.5  3.6449E+13   1.00179   1.00411
   265.5  3.6826E+13   1.00187   1.00431
   266.5  3.5062E+13   1.00120   1.00275
   267.5  3.6285E+13   1.00221   1.00508
   268.5  3.5393E+13   1.00134   1.00308
   269.5  3.2813E+13   1.00093   1.00213
   270.5  4.0438E+13   1.00161   1.00370
   271.5  3.3424E+13   1.00193   1.00443
   272.5  2.6753E+13   1.00278   1.00639
   273.5  3.0888E+13   1.00207   1.00477
   274.5  1.7320E+13   1.00797   1.01834
   275.5  2.5493E+13   1.00580   1.01334
   276.5  3.7255E+13   1.00121   1.00279
   277.5  3.6578E+13   1.00221   1.00509
   278.5  2.3823E+13   1.00500   1.01149
   279.5  1.0531E+13   1.03907   1.08986
   280.5  1.2165E+13   1.02868   1.06596
   281.5  3.1453E+13   1.00200   1.00461
   282.5  4.4867E+13   1.00032   1.00073
   283.5  4.8781E+13   1.00135   1.00310
   284.5  3.7552E+13   1.00409   1.00942
   285.5  1.7878E+13   1.00868   1.01996
   286.5  5.0903E+13   1.00056   1.00129
   287.5  5.5847E+13   1.00150   1.00344
   288.5  4.5447E+13   1.00102   1.00235
   289.5  7.0342E+13   0.99626   1.00487
   290.5  9.5230E+13   0.99899   1.00132
   291.5  8.9580E+13   0.99819   1.00235
   292.5  7.6270E+13   0.99884   1.00150
   293.5  8.5192E+13   0.99921   1.00103
   294.5  7.7283E+13   0.99804   1.00255
   295.5  8.6998E+13   0.99762   1.00309
   296.5  7.9464E+13   0.99887   1.00147
   297.5  8.5659E+13   0.99880   1.00156
   298.5  6.3691E+13   1.00142   1.00328
   299.5  8.5667E+13   1.00093   1.00214
   300.5  5.9820E+13   1.00089   1.00204
   301.5  7.5724E+13   0.99935   1.00085
   302.5  7.3033E+13   1.00051   1.00117
   303.5  1.0120E+14   0.99809   1.00248
   304.5  9.3153E+13   0.99917   1.00108
   305.5  9.5678E+13   0.99756   1.00317
   306.5  8.8164E+13   0.99950   1.00065
   307.5  1.0241E+14   0.99921   1.00103
   308.5  1.0263E+14   0.99954   1.00060
   309.5  7.8235E+13   0.99937   1.00081
   310.5  1.0067E+14   0.99994   1.00008
   311.5  1.2189E+14   0.99884   1.00151
   312.5  1.0639E+14   0.99922   1.00101
   313.5  1.1651E+14   0.99781   1.00284
   314.5  1.0523E+14   0.99826   1.00226
   315.5  1.0760E+14   0.99888   1.00146
   316.5  9.9813E+13   1.00066   1.00153
   317.5  1.3900E+14   0.99947   1.00069
   318.5  1.0768E+14   1.00075   1.00173
   319.5  1.1616E+14   0.99954   1.00059
   320.5  1.4397E+14   0.99852   1.00192
   321.5  1.1121E+14   0.99884   1.00150
   322.5  1.1691E+14   0.99824   1.00228
   323.5  1.1109E+14   0.99903   1.00126
   324.5  1.3283E+14   0.99889   1.00144
   325.5  1.4903E+14   0.99995   1.00006
   326.5  1.6985E+14   0.99776   1.00291
   327.5  1.6347E+14   0.99770   1.00300
   328.5  1.5273E+14   0.99796   1.00265
   329.5  1.8885E+14   0.99911   1.00116
   330.5  1.7433E+14   0.99748   1.00327
   331.5  1.7174E+14   0.99905   1.00123
   332.5  1.6510E+14   0.99765   1.00306
   333.5  1.5786E+14   0.99913   1.00113
   334.5  1.7043E+14   0.99782   1.00283
   335.5  1.7141E+14   0.99858   1.00184
   336.5  1.3786E+14   0.99853   1.00191
   337.5  1.4784E+14   0.99950   1.00064
   338.5  1.6118E+14   0.99881   1.00154
   339.5  1.6400E+14   0.99790   1.00273
   340.5  1.8156E+14   0.99822   1.00232
   341.5  1.6129E+14   0.99958   1.00054
   342.5  1.7854E+14   0.99865   1.00176
   343.5  1.8190E+14   1.00017   1.00040
   344.5  1.3220E+14   1.00060   1.00137
   345.5  1.7741E+14   0.99914   1.00112
   346.5  1.6322E+14   0.99850   1.00195
   347.5  1.6032E+14   0.99842   1.00205
   348.5  1.6969E+14   0.99939   1.00079
   349.5  1.5253E+14   0.99951   1.00064
   350.5  2.0124E+14   0.99807   1.00251
   351.5  1.7962E+14   0.99908   1.00119
   352.5  1.5886E+14   0.99768   1.00302
   353.5  1.9454E+14   0.99841   1.00207
   354.5  2.0514E+14   0.99882   1.00154
   355.5  1.9199E+14   0.99824   1.00229
   356.5  1.7232E+14   1.00047   1.00107
   357.5  1.5441E+14   0.99905   1.00123
   358.5  1.1507E+14   1.00110   1.00253
   359.5  1.9726E+14   0.99803   1.00256
   360.5  1.8427E+14   0.99889   1.00144
   361.5  1.6708E+14   0.99963   1.00048
   362.5  1.9468E+14   0.99792   1.00270
   363.5  1.7641E+14   0.99781   1.00284
   364.5  1.9054E+14   0.99981   1.00024
   365.5  2.2026E+14   0.99647   1.00459
   366.5  2.3550E+14   0.99894   1.00138
   367.5  2.2866E+14   0.99901   1.00128
   368.5  2.0248E+14   0.99812   1.00244
   369.5  2.4075E+14   0.99839   1.00210
   370.5  2.1828E+14   0.99915   1.00111
   371.5  2.4823E+14   0.99875   1.00162
   372.5  1.9800E+14   0.99805   1.00254
   373.5  1.6948E+14   0.99854   1.00190
   374.5  1.8474E+14   1.00052   1.00119
   375.5  2.1797E+14   0.99959   1.00054
   376.5  2.0902E+14   0.99918   1.00106
   377.5  2.5328E+14   0.99824   1.00229
   378.5  2.7167E+14   0.99933   1.00088
   379.5  2.0568E+14   0.99849   1.00196
   380.5  2.4302E+14   0.99980   1.00026
   381.5  2.2149E+14   0.99993   1.00009
   382.5  1.5592E+14   0.99983   1.00022
   383.5  1.3254E+14   1.00030   1.00069
   384.5  1.9546E+14   1.00139   1.00320
   385.5  2.0140E+14   1.00129   1.00298
   386.5  2.0500E+14   1.00078   1.00180
   387.5  1.9532E+14   1.00092   1.00212
   388.5  1.8779E+14   1.00059   1.00136
   389.5  2.3945E+14   0.99931   1.00090
   390.5  2.4529E+14   0.99969   1.00041
   391.5  2.8644E+14   0.99939   1.00079
   392.5  2.1500E+14   0.99873   1.00166
   393.5  9.1257E+13   1.00612   1.01407
   394.5  2.1593E+14   0.99972   1.00036
   395.5  2.7973E+14   0.99870   1.00169
   396.5  1.5728E+14   1.00570   1.01312
   397.5  1.7465E+14   0.99946   1.00070
   398.5  3.1799E+14   0.99959   1.00053
