 1240 lines : MEGS A2 responsivity (electrons / photons) : includes Filter transmission & CCD response
 3 columns : Wavelength (nm), A2-Primary Filter (92 Al/ 24 Ge/ 32 C),  A2-Second Order Filter (170 Al/ 283 Mg/ 19 C)
      33.3500     0.910713      1.08729
      33.4500     0.897240      1.07512
      33.5500     0.883931      1.06313
      33.6500     0.871151      1.05170
      33.7500     0.858372      1.04027
      33.8500     0.845592      1.02884
      33.9500     0.832812      1.01741
      34.0500     0.820032      1.00598
      34.1500     0.807252     0.994556
      34.2500     0.794473     0.983127
      34.3500     0.781693     0.971699
      34.4500     0.769223     0.960545
      34.5500     0.758293     0.950758
      34.6500     0.747362     0.940970
      34.7500     0.736432     0.931183
      34.8500     0.725501     0.921395
      34.9500     0.714571     0.911608
      35.0500     0.703641     0.901820
      35.1500     0.692710     0.892033
      35.2500     0.681780     0.882245
      35.3500     0.670850     0.872458
      35.4500     0.661216     0.863898
      35.5500     0.651801     0.855545
      35.6500     0.642387     0.847192
      35.7500     0.632972     0.838839
      35.8500     0.623557     0.830486
      35.9500     0.614142     0.822133
      36.0500     0.604727     0.813780
      36.1500     0.595313     0.805427
      36.2500     0.585898     0.797074
      36.3500     0.576754     0.788921
      36.4500     0.568265     0.781249
      36.5500     0.559776     0.773577
      36.6500     0.551288     0.765905
      36.7500     0.542799     0.758233
      36.8500     0.534310     0.750561
      36.9500     0.525822     0.742890
      37.0500     0.517333     0.735218
      37.1500     0.508844     0.727546
      37.2500     0.500355     0.719874
      37.3500     0.492635     0.712660
      37.4500     0.485790     0.705968
      37.5500     0.478945     0.699275
      37.6500     0.472100     0.692583
      37.7500     0.465255     0.685891
      37.8500     0.458410     0.679199
      37.9500     0.451565     0.672506
      38.0500     0.444721     0.665814
      38.1500     0.437876     0.659122
      38.2500     0.431031     0.652430
      38.3500     0.425236     0.645916
      38.4500     0.421154     0.639694
      38.5500     0.417071     0.633473
      38.6500     0.412989     0.627251
      38.7500     0.408907     0.621029
      38.8500     0.404825     0.614807
      38.9500     0.400743     0.608585
      39.0500     0.396661     0.602364
      39.1500     0.392579     0.596142
      39.2500     0.388497     0.589920
      39.3500     0.384453     0.583706
      39.4500     0.382313     0.577901
      39.5500     0.380173     0.572096
      39.6500     0.378033     0.566291
      39.7500     0.375894     0.560486
      39.8500     0.373754     0.554681
      39.9500     0.371614     0.548876
      40.0500     0.369474     0.543071
      40.1500     0.367334     0.537266
      40.2500     0.365194     0.531461
      40.3500     0.363054     0.525656
      40.4500     0.361697     0.520006
      40.5500     0.361654     0.514616
      40.6500     0.361610     0.509226
      40.7500     0.361567     0.503836
      40.8500     0.361524     0.498446
      40.9500     0.361481     0.493056
      41.0500     0.361438     0.487666
      41.1500     0.361395     0.482276
      41.2500     0.361352     0.476886
      41.3500     0.361309     0.471496
      41.4500     0.361266     0.466106
      41.5500     0.360431     0.460944
      41.6500     0.358590     0.456074
      41.7500     0.356750     0.451203
      41.8500     0.354909     0.446332
      41.9500     0.353068     0.441461
      42.0500     0.351227     0.436590
      42.1500     0.349386     0.431720
      42.2500     0.347546     0.426849
      42.3500     0.345705     0.421978
      42.4500     0.343864     0.417107
      42.5500     0.342023     0.412237
      42.6500     0.339965     0.407492
      42.7500     0.337080     0.403227
      42.8500     0.334195     0.398962
      42.9500     0.331309     0.394697
      43.0500     0.328424     0.390432
      43.1500     0.325538     0.386167
      43.2500     0.322653     0.381902
      43.3500     0.319768     0.377637
      43.4500     0.316882     0.373372
      43.5500     0.313997     0.369107
      43.6500     0.311112     0.364842
      43.7500     0.308226     0.360577
      43.8500     0.304733     0.356648
      43.9500     0.300968     0.352869
      44.0500     0.297202     0.349090
      44.1500     0.293437     0.345311
      44.2500     0.289672     0.341533
      44.3500     0.285906     0.337754
      44.4500     0.282141     0.333975
      44.5500     0.278376     0.330196
      44.6500     0.274610     0.326417
      44.7500     0.270845     0.322639
      44.8500     0.267080     0.318860
      44.9500     0.263315     0.315081
      45.0500     0.259805     0.311975
      45.1500     0.256342     0.308993
      45.2500     0.252879     0.306011
      45.3500     0.249417     0.303029
      45.4500     0.245954     0.300047
      45.5500     0.242491     0.297065
      45.6500     0.239028     0.294083
      45.7500     0.235566     0.291101
      45.8500     0.232103     0.288119
      45.9500     0.228640     0.285138
      46.0500     0.225178     0.282156
      46.1500     0.221715     0.279174
      46.2500     0.218562     0.276324
      46.3500     0.215553     0.273536
      46.4500     0.212544     0.270747
      46.5500     0.209534     0.267959
      46.6500     0.206525     0.265171
      46.7500     0.203516     0.262383
      46.8500     0.200507     0.259594
      46.9500     0.197497     0.256806
      47.0500     0.194488     0.254018
      47.1500     0.191479     0.251229
      47.2500     0.188470     0.248441
      47.3500     0.185460     0.245653
      47.4500     0.182540     0.242922
      47.5500     0.179994     0.240434
      47.6500     0.177448     0.237945
      47.7500     0.174902     0.235457
      47.8500     0.172356     0.232969
      47.9500     0.169810     0.230480
      48.0500     0.167264     0.227992
      48.1500     0.164718     0.225504
      48.2500     0.162172     0.223015
      48.3500     0.159626     0.220527
      48.4500     0.157080     0.218039
      48.5500     0.154534     0.215551
      48.6500     0.151988     0.213062
      48.7500     0.149579     0.210677
      48.8500     0.147406     0.208466
      48.9500     0.145232     0.206256
      49.0500     0.143059     0.204046
      49.1500     0.140886     0.201836
      49.2500     0.138713     0.199626
      49.3500     0.136539     0.197416
      49.4500     0.134366     0.195206
      49.5500     0.132193     0.192996
      49.6500     0.130020     0.190786
      49.7500     0.127846     0.188576
      49.8500     0.125673     0.186365
      49.9500     0.123500     0.184155
      50.0500     0.121378     0.181990
      50.1500     0.119498     0.180035
      50.2500     0.117617     0.178080
      50.3500     0.115736     0.176125
      50.4500     0.113855     0.174170
      50.5500     0.111975     0.172215
      50.6500     0.110094     0.170260
      50.7500     0.108213     0.168306
      50.8500     0.106332     0.166350
      50.9500     0.104452     0.164395
      51.0500     0.102571     0.162440
      51.1500     0.100690     0.160486
      51.2500    0.0988094     0.158531
      51.3500    0.0969287     0.156576
      51.4500    0.0952510     0.154741
      51.5500    0.0936799     0.152970
      51.6500    0.0921088     0.151199
      51.7500    0.0905377     0.149428
      51.8500    0.0889666     0.147657
      51.9500    0.0873955     0.145886
      52.0500    0.0858244     0.144115
      52.1500    0.0842533     0.142344
      52.2500    0.0826821     0.140573
      52.3500    0.0811110     0.138802
      52.4500    0.0795399     0.137031
      52.5500    0.0779688     0.135260
      52.6500    0.0763977     0.133489
      52.7500    0.0748266     0.131718
      52.8500    0.0735219     0.130152
      52.9500    0.0722986     0.128648
      53.0500    0.0710753     0.127144
      53.1500    0.0698521     0.125641
      53.2500    0.0686288     0.124137
      53.3500    0.0674055     0.122633
      53.4500    0.0661822     0.121129
      53.5500    0.0649590     0.119626
      53.6500    0.0637357     0.118122
      53.7500    0.0625124     0.116618
      53.8500    0.0612891     0.115114
      53.9500    0.0600659     0.113611
      54.0500    0.0588426     0.112107
      54.1500    0.0576193     0.110603
      54.2500    0.0565872     0.109276
      54.3500    0.0557591     0.108138
      54.4500    0.0549310     0.106999
      54.5500    0.0541030     0.105861
      54.6500    0.0532749     0.104723
      54.7500    0.0524469     0.103584
      54.8500    0.0516188     0.102446
      54.9500    0.0507907     0.101308
      55.0500    0.0499627     0.100169
      55.1500    0.0491346    0.0990310
      55.2500    0.0483065    0.0978926
      55.3500    0.0474785    0.0967543
      55.4500    0.0466504    0.0956160
      55.5500    0.0458224    0.0944776
      55.6500    0.0449943    0.0933393
      55.7500    0.0443084    0.0923488
      55.8500    0.0436513    0.0913881
      55.9500    0.0429941    0.0904275
      56.0500    0.0423370    0.0894668
      56.1500    0.0416798    0.0885062
      56.2500    0.0410227    0.0875455
      56.3500    0.0403655    0.0865849
      56.4500    0.0397084    0.0856242
      56.5500    0.0390512    0.0846636
      56.6500    0.0383941    0.0837029
      56.7500    0.0377369    0.0827423
      56.8500    0.0370798    0.0817816
      56.9500    0.0364226    0.0808210
      57.0500    0.0357655    0.0798603
      57.1500    0.0351083    0.0788997
      57.2500    0.0345606    0.0780626
      57.3500    0.0340470    0.0772643
      57.4500    0.0335335    0.0764659
      57.5500    0.0330199    0.0756675
      57.6500    0.0325064    0.0748692
      57.7500    0.0319928    0.0740708
