Henke filter constants:  transmission = exp(-thick / constant)
   where  thick is given in Angstroms
Generated by Tom Woods  12/1/93
301 lines of data x 9 columns
Wavelength  Al        C       Sc       Sn       Ti      Al2O3    SiO2      TiO
  11.614 3.72E+04 2.77E+04 7.55E+03 1.92E+03 4.47E+03 1.57E+04 1.69E+04 4.72E+03
  11.308 4.00E+04 2.99E+04 8.07E+03 2.04E+03 4.78E+03 1.69E+04 1.82E+04 5.05E+03
  11.011 4.31E+04 3.23E+04 8.63E+03 2.17E+03 5.10E+03 1.81E+04 1.95E+04 5.40E+03
  10.720 4.64E+04 3.48E+04 9.23E+03 2.31E+03 5.46E+03 1.95E+04 2.10E+04 5.78E+03
  10.439 4.99E+04 3.75E+04 9.87E+03 2.45E+03 5.83E+03 2.09E+04 2.25E+04 6.18E+03
  10.163 5.37E+04 4.04E+04 1.06E+04 2.61E+03 6.23E+03 2.25E+04 2.41E+04 6.61E+03
   9.896 5.78E+04 4.36E+04 1.13E+04 2.77E+03 6.66E+03 2.42E+04 2.59E+04 7.08E+03
   9.635 6.22E+04 4.71E+04 1.21E+04 2.95E+03 7.13E+03 2.60E+04 2.79E+04 7.58E+03
   9.382 6.68E+04 5.08E+04 1.29E+04 3.13E+03 7.63E+03 2.79E+04 2.99E+04 8.12E+03
   9.134 7.18E+04 5.49E+04 1.38E+04 3.33E+03 8.17E+03 3.00E+04 3.22E+04 8.70E+03
   8.894 7.72E+04 5.93E+04 1.48E+04 3.54E+03 8.74E+03 3.22E+04 3.46E+04 9.32E+03
   8.660 8.29E+04 6.40E+04 1.59E+04 3.77E+03 9.36E+03 3.47E+04 3.72E+04 9.98E+03
   8.432 8.92E+04 6.92E+04 1.70E+04 4.00E+03 1.00E+04 3.72E+04 3.99E+04 1.07E+04
   8.209 9.61E+04 7.47E+04 1.82E+04 4.26E+03 1.07E+04 4.01E+04 4.30E+04 1.15E+04
   7.993 1.04E+05 8.07E+04 1.95E+04 4.52E+03 1.15E+04 4.32E+04 4.63E+04 1.23E+04
   7.783 9.34E+03 8.72E+04 2.09E+04 4.81E+03 1.23E+04 1.36E+04 4.98E+04 1.32E+04
   7.578 9.95E+03 9.43E+04 2.24E+04 5.11E+03 1.32E+04 1.45E+04 5.36E+04 1.42E+04
   7.378 1.06E+04 1.02E+05 2.40E+04 5.43E+03 1.42E+04 1.55E+04 5.77E+04 1.52E+04
   7.184 1.13E+04 1.10E+05 2.57E+04 5.77E+03 1.52E+04 1.66E+04 6.22E+04 1.63E+04
   6.995 1.21E+04 1.19E+05 2.76E+04 6.13E+03 1.64E+04 1.77E+04 6.70E+04 1.75E+04
   6.811 1.29E+04 1.29E+05 2.96E+04 6.53E+03 1.76E+04 1.90E+04 7.22E+04 1.88E+04
   6.631 1.38E+04 1.39E+05 3.17E+04 6.95E+03 1.88E+04 2.03E+04 2.30E+04 2.02E+04
   6.457 1.47E+04 1.51E+05 3.40E+04 7.40E+03 2.02E+04 2.18E+04 2.46E+04 2.17E+04
   6.287 1.57E+04 1.63E+05 3.65E+04 7.87E+03 2.17E+04 2.33E+04 2.63E+04 2.34E+04
   6.121 1.68E+04 1.76E+05 3.91E+04 8.38E+03 2.33E+04 2.49E+04 2.81E+04 2.51E+04
   5.960 1.80E+04 1.90E+05 4.19E+04 8.92E+03 2.50E+04 2.67E+04 3.01E+04 2.70E+04
   5.803 1.92E+04 2.06E+05 4.50E+04 9.51E+03 2.69E+04 2.86E+04 3.22E+04 2.90E+04
   5.650 2.06E+04 2.23E+05 4.83E+04 1.01E+04 2.89E+04 3.07E+04 3.44E+04 3.11E+04
   5.501 2.21E+04 2.41E+05 5.18E+04 1.08E+04 3.10E+04 3.30E+04 3.69E+04 3.35E+04
   5.356 2.37E+04 2.61E+05 5.56E+04 1.15E+04 3.33E+04 3.54E+04 3.95E+04 3.60E+04
   5.215 2.54E+04 2.83E+05 5.97E+04 1.23E+04 3.58E+04 3.80E+04 4.24E+04 3.87E+04
   5.078 2.72E+04 3.06E+05 6.41E+04 1.31E+04 3.84E+04 4.08E+04 4.55E+04 4.16E+04
   4.944 2.92E+04 3.31E+05 6.88E+04 1.40E+04 4.13E+04 4.39E+04 4.88E+04 4.47E+04
   4.814 3.14E+04 3.59E+05 7.39E+04 1.50E+04 4.44E+04 4.72E+04 5.24E+04 4.81E+04
   4.687 3.37E+04 3.88E+05 7.94E+04 1.60E+04 4.77E+04 5.07E+04 5.62E+04 5.18E+04
   4.564 3.62E+04 4.21E+05 8.53E+04 1.71E+04 5.13E+04 5.45E+04 6.04E+04 5.57E+04
   4.444 3.89E+04 4.56E+05 9.16E+04 1.83E+04 5.51E+04 5.87E+04 6.49E+04 5.99E+04
   4.327 4.19E+04 4.94E+05 9.85E+04 1.96E+04 5.92E+04 6.31E+04 6.97E+04 6.44E+04
   4.213 4.50E+04 5.35E+05 1.06E+05 2.10E+04 6.36E+04 6.79E+04 7.50E+04 6.93E+04
   4.102 4.84E+04 5.80E+05 1.14E+05 2.25E+04 6.84E+04 7.31E+04 8.06E+04 7.45E+04
   3.994 5.21E+04 6.28E+05 1.22E+05 2.41E+04 7.35E+04 7.88E+04 8.67E+04 8.02E+04
   3.889 5.61E+04 6.81E+05 1.32E+05 2.58E+04 7.90E+04 8.48E+04 9.33E+04 8.63E+04
   3.786 6.03E+04 7.38E+05 1.41E+05 2.77E+04 8.49E+04 9.14E+04 1.00E+05 9.29E+04
   3.686 6.50E+04 8.01E+05 1.52E+05 2.97E+04 9.13E+04 9.85E+04 1.08E+05 1.00E+05
   3.589 7.00E+04 8.68E+05 1.64E+05 3.19E+04 9.82E+04 1.06E+05 1.16E+05 1.08E+05
   3.495 7.53E+04 9.42E+05 1.76E+05 3.43E+04 1.06E+05 1.14E+05 1.25E+05 1.16E+05
   3.403 8.12E+04 1.02E+06 1.90E+05 3.70E+04 1.14E+05 1.23E+05 1.35E+05 1.25E+05
   3.313 8.75E+04 1.11E+06 2.04E+05 3.98E+04 1.22E+05 1.33E+05 1.46E+05 1.34E+05
   3.226 9.42E+04 1.20E+06 2.20E+05 4.29E+04 1.31E+05 1.43E+05 1.57E+05 1.44E+05
