;
;	MEGS A & B Zeroth Order Trap signal estimates
;	Tom Woods   10/24/03
;
;	Assumed area of 1 mm x 10 mm, but does not include trap diode effect
;	which will increase signal strength
;
;   Index        Filter
;   -------  -----------------------------------------------------
;	1        MEGS-A with Zr filter:   Zr/C  2800/200 Angstroms
;	2        MEGS-A with Si filter:   Zr/Si/C  2300/1200/200 Angstroms
;	3        MEGS-A with Al filter:   Al/Ge/C  2000/200/200 Angstroms
;	4        MEGS-A with Mg filter:   Al/Mg/C  1800/3000/200 Angstroms
;	5        MEGS-A with Sn filter:   Al/Sn/C  1000/2000/200 Angstroms
;
;	6        MEGS-B with No filter:   bare Si diode used
;	7        MEGS-B with Mg filter:   Al/Mg/C  1800/3000/200 Angstroms
;	8        MEGS-B with Sn filter:   Al/Sn/C  1000/2000/200 Angstroms
;
;	MEGS-B with Al on diode (Al/Al2O3 of 1000/100 Angstroms)
;    9             With no filter
;	10             With Mg filter:   Al/Mg/C  1800/3000/200 Angstroms
;
  10000 lines : MEGS Zeroth Order Trap Diode Signals
  11 columns : wavelength_Angstrom, A_Zr_nA, A_Si, A_Al, A_Mg, A_Sn, B_bare, B_Mg, B_Sn, B_Al, B_AlMg
   2.6897700e-06   4.7619000e-05    0.0021837200   2.6897700e-06
   4.7619000e-05       0.0000000       0.0000000
       67.500000   0.00059482700   6.8530800e-05   2.1052600e-05
   2.2862500e-06   4.6887700e-05    0.0023189600   2.2862500e-06
   4.6887700e-05       0.0000000       0.0000000
       68.500000   0.00067063700   7.1910800e-05   1.9508700e-05
   1.9989100e-06   4.6186400e-05    0.0024403700   1.9989100e-06
   4.6186400e-05       0.0000000       0.0000000
       69.500000   0.00074337800   7.4382400e-05   1.7624500e-05
   1.6721400e-06   4.4834600e-05    0.0025433200   1.6721400e-06
   4.4834600e-05       0.0000000       0.0000000
       70.500000   0.00080448300   7.6320500e-05   1.6768800e-05
   1.4946000e-06   4.4299700e-05    0.0026308500   1.4946000e-06
   4.4299700e-05       0.0000000       0.0000000
       71.500000   0.00086177300   7.7685600e-05   1.5711700e-05
   1.2948000e-06   4.3312800e-05    0.0027023500   1.2948000e-06
   4.3312800e-05       0.0000000       0.0000000
       72.500000   0.00090340200   7.8615400e-05   1.4882800e-05
   1.1486600e-06   4.2393700e-05    0.0027651300   1.1486600e-06
   4.2393700e-05       0.0000000       0.0000000
       73.500000   0.00094736100   8.0186000e-05   1.3998900e-05
   9.9898100e-07   4.1270000e-05    0.0028302000   9.9898100e-07
   4.1270000e-05       0.0000000       0.0000000
       74.500000    0.0010039000   8.4866900e-05   1.3415900e-05
   8.9528000e-07   4.0495200e-05    0.0029351300   8.9528000e-07
   4.0495200e-05       0.0000000       0.0000000
       75.500000    0.0010640600   9.0016000e-05   1.2848300e-05
   7.9421100e-07   3.9579400e-05    0.0030546900   7.9421100e-07
   3.9579400e-05       0.0000000       0.0000000
       76.500000    0.0011227200   9.5518000e-05   1.2404200e-05
   7.1739200e-07   3.8328900e-05    0.0031921100   7.1739200e-07
   3.8328900e-05       0.0000000       0.0000000
       77.500000    0.0011814400   0.00010102500   1.1897700e-05
   6.3690000e-07   3.6687800e-05    0.0033305300   6.3690000e-07
   3.6687800e-05       0.0000000       0.0000000
       78.500000    0.0012407400   0.00010644300   1.1489200e-05
   5.7602700e-07   3.4655600e-05    0.0034815700   5.7602700e-07
   3.4655600e-05       0.0000000       0.0000000
       79.500000    0.0013005900   0.00011186300   1.1011900e-05
