 1240 lines : MEGS A1 responsivity (electrons / photons) : includes Filter transmission & CCD response
 3 columns : Wavelength (nm), A1-Primay Filter (187 Zr/ 65 C),  A1-Second Order Filter (116 Zr/ 133 Si/ 87 C)
      40.3500  5.75448e-07  9.80808e-06
      40.4500  6.14324e-07  1.00565e-05
      40.5500  6.67182e-07  1.02917e-05
      40.6500  7.20039e-07  1.05269e-05
      40.7500  7.72896e-07  1.07621e-05
      40.8500  8.25753e-07  1.09973e-05
      40.9500  8.78611e-07  1.12325e-05
      41.0500  9.31468e-07  1.14677e-05
      41.1500  9.84325e-07  1.17029e-05
      41.2500  1.03718e-06  1.19381e-05
      41.3500  1.09004e-06  1.21733e-05
      41.4500  1.14290e-06  1.24085e-05
      41.5500  1.20083e-06  1.25890e-05
      41.6500  1.26520e-06  1.26998e-05
      41.7500  1.32957e-06  1.28107e-05
      41.8500  1.39395e-06  1.29216e-05
      41.9500  1.45832e-06  1.30325e-05
      42.0500  1.52269e-06  1.31434e-05
      42.1500  1.58706e-06  1.32542e-05
      42.2500  1.65144e-06  1.33651e-05
      42.3500  1.71581e-06  1.34760e-05
      42.4500  1.78018e-06  1.35869e-05
      42.5500  1.84456e-06  1.36978e-05
      42.6500  1.91280e-06  1.37948e-05
      42.7500  1.99578e-06  1.38394e-05
      42.8500  2.07875e-06  1.38839e-05
      42.9500  2.16173e-06  1.39284e-05
      43.0500  2.24471e-06  1.39729e-05
      43.1500  2.32768e-06  1.40174e-05
      43.2500  2.41066e-06  1.40619e-05
      43.3500  2.49364e-06  1.41064e-05
      43.4500  2.57662e-06  1.41510e-05
      43.5500  2.65959e-06  1.41955e-05
      43.6500  2.74257e-06  1.42400e-05
      43.7500  2.82555e-06  1.42845e-05
      43.8500  2.91990e-06  1.42867e-05
      43.9500  3.01933e-06  1.42699e-05
      44.0500  3.11877e-06  1.42531e-05
      44.1500  3.21820e-06  1.42364e-05
      44.2500  3.31763e-06  1.42196e-05
      44.3500  3.41707e-06  1.42028e-05
      44.4500  3.51650e-06  1.41861e-05
      44.5500  3.61594e-06  1.41693e-05
      44.6500  3.71537e-06  1.41526e-05
      44.7500  3.81480e-06  1.41358e-05
      44.8500  3.91424e-06  1.41190e-05
      44.9500  4.01367e-06  1.41023e-05
      45.0500  4.10135e-06  1.40071e-05
      45.1500  4.18686e-06  1.38974e-05
      45.2500  4.27237e-06  1.37878e-05
      45.3500  4.35788e-06  1.36782e-05
      45.4500  4.44339e-06  1.35685e-05
      45.5500  4.52890e-06  1.34589e-05
      45.6500  4.61441e-06  1.33493e-05
      45.7500  4.69993e-06  1.32396e-05
      45.8500  4.78544e-06  1.31300e-05
      45.9500  4.87095e-06  1.30204e-05
      46.0500  4.95646e-06  1.29108e-05
      46.1500  5.04197e-06  1.28011e-05
      46.2500  5.10312e-06  1.26462e-05
      46.3500  5.15299e-06  1.24704e-05
      46.4500  5.20287e-06  1.22945e-05
      46.5500  5.25274e-06  1.21186e-05
      46.6500  5.30262e-06  1.19428e-05
      46.7500  5.35249e-06  1.17669e-05
      46.8500  5.40236e-06  1.15911e-05
      46.9500  5.45224e-06  1.14152e-05
      47.0500  5.50211e-06  1.12394e-05
      47.1500  5.55198e-06  1.10635e-05
      47.2500  5.60186e-06  1.08876e-05
      47.3500  5.65173e-06  1.07118e-05
      47.4500  5.68614e-06  1.05280e-05
      47.5500  5.65527e-06  1.03105e-05
      47.6500  5.62440e-06  1.00930e-05
      47.7500  5.59352e-06  9.87557e-06
      47.8500  5.56265e-06  9.65811e-06
      47.9500  5.53178e-06  9.44065e-06
      48.0500  5.50091e-06  9.22318e-06
      48.1500  5.47004e-06  9.00572e-06
      48.2500  5.43916e-06  8.78826e-06
      48.3500  5.40829e-06  8.57080e-06
      48.4500  5.37742e-06  8.35334e-06
      48.5500  5.34655e-06  8.13587e-06
      48.6500  5.31568e-06  7.91841e-06
      48.7500  5.25573e-06  7.69774e-06
      48.8500  5.14603e-06  7.47156e-06
      48.9500  5.03634e-06  7.24538e-06
      49.0500  4.92664e-06  7.01920e-06
      49.1500  4.81695e-06  6.79302e-06
      49.2500  4.70725e-06  6.56684e-06
      49.3500  4.59756e-06  6.34066e-06
      49.4500  4.48786e-06  6.11448e-06
      49.5500  4.37817e-06  5.88831e-06
      49.6500  4.26847e-06  5.66213e-06
      49.7500  4.15878e-06  5.43595e-06
      49.8500  4.04908e-06  5.20977e-06
      49.9500  3.93939e-06  4.98359e-06
      50.0500  3.83134e-06  4.76953e-06
      50.1500  3.73095e-06  4.61175e-06
      50.2500  3.63057e-06  4.45398e-06
      50.3500  3.53018e-06  4.29621e-06
      50.4500  3.42979e-06  4.13843e-06
      50.5500  3.32940e-06  3.98066e-06
      50.6500  3.22901e-06  3.82289e-06
      50.7500  3.12863e-06  3.66511e-06
      50.8500  3.02824e-06  3.50734e-06
      50.9500  2.92785e-06  3.34957e-06
      51.0500  2.82746e-06  3.19179e-06
      51.1500  2.72708e-06  3.03402e-06
      51.2500  2.62669e-06  2.87625e-06
      51.3500  2.52630e-06  2.71847e-06
      51.4500  2.44070e-06  2.60073e-06
      51.5500  2.36284e-06  2.50399e-06
      51.6500  2.28499e-06  2.40724e-06
      51.7500  2.20713e-06  2.31049e-06
      51.8500  2.12928e-06  2.21375e-06
      51.9500  2.05142e-06  2.11700e-06
      52.0500  1.97357e-06  2.02025e-06
      52.1500  1.89571e-06  1.92350e-06
      52.2500  1.81786e-06  1.82676e-06
      52.3500  1.74000e-06  1.73001e-06
      52.4500  1.66215e-06  1.63326e-06
      52.5500  1.58429e-06  1.53652e-06
      52.6500  1.50644e-06  1.43977e-06
      52.7500  1.42858e-06  1.34302e-06
      52.8500  1.37671e-06  1.28340e-06
      52.9500  1.33279e-06  1.23513e-06
      53.0500  1.28886e-06  1.18686e-06
      53.1500  1.24494e-06  1.13859e-06
      53.2500  1.20101e-06  1.09032e-06
      53.3500  1.15708e-06  1.04205e-06
      53.4500  1.11316e-06  9.93777e-07
      53.5500  1.06923e-06  9.45506e-07
      53.6500  1.02531e-06  8.97235e-07
      53.7500  9.81382e-07  8.48964e-07
      53.8500  9.37456e-07  8.00693e-07
      53.9500  8.93531e-07  7.52421e-07
      54.0500  8.49605e-07  7.04150e-07
      54.1500  8.05679e-07  6.55879e-07
      54.2500  7.71426e-07  6.20461e-07
      54.3500  7.47504e-07  5.98770e-07
      54.4500  7.23581e-07  5.77079e-07
      54.5500  6.99658e-07  5.55387e-07
      54.6500  6.75736e-07  5.33696e-07
      54.7500  6.51813e-07  5.12005e-07
      54.8500  6.27890e-07  4.90314e-07
      54.9500  6.03968e-07  4.68622e-07
      55.0500  5.80045e-07  4.46931e-07
      55.1500  5.56122e-07  4.25240e-07
      55.2500  5.32200e-07  4.03548e-07
