 1240 lines : MEGS B CCD responsivity
 2 columns : Wavelength (nm),  Responsivity (electrons/photon) [no filter]
      59.9500      2.51536
      60.0500      2.50833
      60.1500      2.50130
      60.2500      2.49428
      60.3500      2.48615
      60.4500      2.47647
      60.5500      2.46680
      60.6500      2.45712
      60.7500      2.44744
      60.8500      2.43777
      60.9500      2.42809
      61.0500      2.41842
      61.1500      2.40874
      61.2500      2.39906
      61.3500      2.38939
      61.4500      2.37971
      61.5500      2.37004
      61.6500      2.36036
      61.7500      2.35068
      61.8500      2.34101
      61.9500      2.33130
      62.0500      2.32138
      62.1500      2.31146
      62.2500      2.30154
      62.3500      2.29162
      62.4500      2.28169
      62.5500      2.27177
      62.6500      2.26185
      62.7500      2.25193
      62.8500      2.24200
      62.9500      2.23208
      63.0500      2.22216
      63.1500      2.21224
      63.2500      2.20231
      63.3500      2.19239
      63.4500      2.18247
      63.5500      2.17255
      63.6500      2.16307
      63.7500      2.15436
      63.8500      2.14565
      63.9500      2.13693
      64.0500      2.12822
      64.1500      2.11951
      64.2500      2.11080
      64.3500      2.10209
      64.4500      2.09338
      64.5500      2.08467
      64.6500      2.07596
      64.7500      2.06725
      64.8500      2.05854
      64.9500      2.04983
      65.0500      2.04111
      65.1500      2.03240
      65.2500      2.02369
      65.3500      2.01529
      65.4500      2.00889
      65.5500      2.00249
      65.6500      1.99608
      65.7500      1.98968
      65.8500      1.98328
      65.9500      1.97688
      66.0500      1.97048
      66.1500      1.96408
      66.2500      1.95768
      66.3500      1.95128
      66.4500      1.94487
      66.5500      1.93847
      66.6500      1.93207
      66.7500      1.92567
      66.8500      1.91927
      66.9500      1.91287
      67.0500      1.90647
      67.1500      1.90016
      67.2500      1.89394
      67.3500      1.88772
      67.4500      1.88151
      67.5500      1.87529
      67.6500      1.86908
      67.7500      1.86286
      67.8500      1.85665
      67.9500      1.85043
      68.0500      1.84422
      68.1500      1.83800
      68.2500      1.83179
      68.3500      1.82557
      68.4500      1.81935
      68.5500      1.81314
      68.6500      1.80692
      68.7500      1.80071
      68.8500      1.79449
      68.9500      1.78819
      69.0500      1.78171
      69.1500      1.77523
      69.2500      1.76874
      69.3500      1.76226
      69.4500      1.75578
      69.5500      1.74930
      69.6500      1.74281
      69.7500      1.73633
      69.8500      1.72985
      69.9500      1.72337
      70.0500      1.71688
      70.1500      1.71040
      70.2500      1.70392
      70.3500      1.69744
      70.4500      1.69095
      70.5500      1.68447
      70.6500      1.67799
      70.7500      1.67150
      70.8500      1.66537
      70.9500      1.65937
      71.0500      1.65338
      71.1500      1.64738
      71.2500      1.64139
      71.3500      1.63540
      71.4500      1.62940
      71.5500      1.62341
      71.6500      1.61741
      71.7500      1.61142
      71.8500      1.60543
      71.9500      1.59943
      72.0500      1.59344
      72.1500      1.58744
      72.2500      1.58145
      72.3500      1.57545
      72.4500      1.56946
      72.5500      1.56347
      72.6500      1.55747
      72.7500      1.55213
      72.8500      1.54736
      72.9500      1.54259
      73.0500      1.53782
      73.1500      1.53305
      73.2500      1.52829
      73.3500      1.52352
      73.4500      1.51875
      73.5500      1.51398
      73.6500      1.50921
      73.7500      1.50444
      73.8500      1.49967
      73.9500      1.49490
      74.0500      1.49013
      74.1500      1.48537
      74.2500      1.48060
      74.3500      1.47583
      74.4500      1.47106
      74.5500      1.46629
      74.6500      1.46152
      74.7500      1.45679
      74.8500      1.45206
      74.9500      1.44734
      75.0500      1.44261
      75.1500      1.43789
      75.2500      1.43316
      75.3500      1.42843
      75.4500      1.42371
      75.5500      1.41898
      75.6500      1.41425
      75.7500      1.40953
      75.8500      1.40480
      75.9500      1.40008
      76.0500      1.39535
      76.1500      1.39062
      76.2500      1.38590
      76.3500      1.38117
      76.4500      1.37644
      76.5500      1.37172
      76.6500      1.36699
      76.7500      1.36286
      76.8500      1.35899
