 ;  
 ;	Ran mewe_spec.pro for Temperature of 0.5 MK and 1-20 MK on 1 MK steps
 ;		and wavelength range from 0-300 Angstroms on 0.1 Angstrom grid
 ;  Then took weighted averages over all temperatures appropriate for solar min. and solar max. 
 ;		with scaling to Woods & Rottman solar reference spectrum at 200 Angstroms
 ;
 ;	Tom Woods,  5/29/04
 ;
 3000 lines : Mewe solar spectra at 0.5 MK and 1-20 MK on 1 MK steps weighted for solar min & max
 3 columns : wavelength (Angstroms), solar min and max spectra in units of photons/cm^2/second
      26.8500      114841.      555355.
      26.9500      744953.  2.41960e+06
      27.0500      117255.      904309.
      27.1500      117077.      562659.
      27.2500      117798.      564991.
      27.3500      118504.      567320.
      27.4500      141873.  1.00241e+06
      27.5500      119887.      571702.
      27.6500      143749.  1.01033e+06
      27.7500      374979.  1.35163e+06
      27.8500      121880.      578021.
      27.9500      659222.  2.20214e+06
      28.0500      123162.      582042.
      28.1500      123790.      583992.
      28.2500      124408.      585909.
      28.3500      125018.      587786.
      28.4500  1.85627e+06  5.89835e+06
      28.5500      332721.  1.39423e+06
      28.6500      126804.      593238.
      28.7500  1.91159e+06  5.55605e+06
      28.8500      174451.      715363.
      28.9500      156278.      697050.
      29.0500      396412.  1.33291e+06
      29.1500      130966.      605587.
      29.2500      131898.      608315.
      29.3500      132748.      610796.
      29.4500      133550.      613130.
      29.5500  1.84570e+06  5.30467e+06
      29.6500      135057.      617491.
      29.7500      136287.      670686.
      29.8500      136470.      621538.
      29.9500      137151.      623477.
      30.0500      137818.      625405.
      30.1500      138495.      627258.
      30.2500      139112.      629012.
      30.3500      139741.      630767.
      30.4500  2.44925e+06  8.06438e+06
      30.5500      140972.      634185.
      30.6500      141573.      635836.
      30.7500      142167.      637462.
      30.8500  1.08285e+06  3.18084e+06
      30.9500      143329.      640619.
      31.0500  1.64508e+06  6.34185e+06
      31.1500      144466.      643678.
      31.2500      323740.  1.12800e+06
      31.3500      801088.  2.65106e+06
      31.4500      146122.      648068.
      31.5500      146665.      649499.
      31.6500      285753.  1.07293e+06
      31.7500      132030.      609361.
      31.8500      132381.      610299.
      31.9500      132728.      611221.
      32.0500      133072.      612135.
      32.1500      134331.      687071.
      32.2500      729234.  2.72441e+06
      32.3500      134064.      614718.
      32.4500      175838.  1.26910e+06
      32.5500      218041.  1.90387e+06
      32.6500      135015.      617147.
      32.7500      332054.  1.11170e+06
      32.8500      135628.      618679.
      32.9500      960018.  3.78324e+06
      33.0500      136225.      620155.
      33.1500      136518.      620869.
      33.2500      312970.  1.51587e+06
      33.3500      435078.  1.72906e+06
      33.4500      647292.  2.43028e+06
      33.5500      554078.  1.90295e+06
      33.6500  1.83597e+07  5.39742e+07
      33.7500      138264.      629808.
      33.8500      283514.  1.14750e+06
      33.9500      378166.  1.39226e+06
      34.0500      141461.      633208.
      34.1500      143513.      638533.
      34.2500      144996.      642345.
      34.3500      737146.  2.39754e+06
      34.4500      147352.      648356.
      34.5500      148361.      650905.
      34.6500      352505.  1.27331e+06
      34.7500      150173.      655442.
      34.8500      151007.      657527.
      34.9500  1.64200e+06  4.37117e+06
      35.0500      152559.      661362.
      35.1500      153289.      663152.
      35.2500  1.69210e+06  4.74189e+06
      35.3500      154671.      666519.
      35.4500      720812.  2.39056e+06
      35.5500  3.32567e+06  9.07028e+06
      35.6500  1.03806e+06  3.87001e+06
      35.7500      157194.      672569.
      35.8500      157788.      673982.
      35.9500      158369.      676983.
      36.0500      158929.      676668.
      36.1500      159480.      677956.
      36.2500      160017.      679198.
      36.3500  1.98905e+06  6.24325e+06
      36.4500      161065.      681624.
      36.5500  1.99844e+06  6.27104e+06
      36.6500      162073.      683926.
      36.7500      610468.  2.52130e+06
      36.8500      163044.      686122.
      36.9500  1.76790e+06  5.22341e+06
      37.0500      164671.      747717.
      37.1500      164441.      689239.
      37.2500      164889.      690223.
      37.3500      825888.  2.70048e+06
      37.4500      496526.  1.57171e+06
      37.5500      453187.  1.72833e+06
      37.6500      166627.      694019.
      37.7500      471545.  1.60407e+06
      37.8500      167460.      695806.
      37.9500      167870.      697690.
      38.0500      168269.      697524.
      38.1500      168665.      698358.
      38.2500      374095.  1.24403e+06
      38.3500      169444.      699980.
      38.4500      169827.      700776.
      38.5500      170204.      701553.
      38.6500      213003.      827904.
      38.7500      170944.      703054.
      38.8500      171313.      703810.
      38.9500      171674.      704537.
      39.0500      172031.      705252.
      39.1500      172384.      705956.
      39.2500  4.17466e+06  1.26526e+07
      39.3500      173080.      707328.
      39.4500  1.72101e+06  4.84986e+06
      39.5500      173763.      708662.
      39.6500      917389.  3.57627e+06
      39.7500      174428.      709937.
      39.8500      174761.      710582.
      39.9500      175091.      712003.
      40.0500      175412.      711818.
      40.1500      175733.      712422.
      40.2500  1.48112e+07  3.66547e+07
      40.3500      367627.  1.14401e+06
      40.4500      176681.      714185.
      40.5500      176991.      714756.
      40.6500      177299.      715319.
      40.7500  1.33342e+06  3.52452e+06
      40.8500      177909.      716426.
      40.9500  5.10768e+06  1.83963e+07
      41.0500      180895.      723500.
      41.1500      190158.  1.32102e+06
      41.2500      184418.      731910.
      41.3500      185681.      734868.
      41.4500  1.88229e+07  4.60369e+07
      41.5500      396976.  1.19040e+06
      41.6500      188793.      742007.
      41.7500      189695.      744039.
      41.8500      190559.      745984.
      41.9500      191382.      747822.
      42.0500  1.30067e+06  3.51929e+06
      42.1500      192937.      751256.
      42.2500      193672.      752862.
      42.3500      194392.      754437.
      42.4500      195088.      755946.
      42.5500  3.59698e+06  1.02911e+07
      42.6500      196428.      758832.
      42.7500      197072.      760200.
      42.8500      207353.      825157.
      42.9500      339703.  1.13430e+06
      43.0500      710969.  2.18493e+06
      43.1500      199530.      765399.
      43.2500      200112.      766608.
      43.3500      200690.      767814.
      43.4500      201255.      768983.
      43.5500      201811.      770126.
      43.6500      202358.      771249.
      43.7500  4.45931e+06  1.37389e+07
      43.8500      206253.      963457.
      43.9500      336940.  1.12505e+06
      44.0500  4.57343e+06  1.52540e+07
      44.1500  4.94967e+06  1.81623e+07
      44.2500  2.43599e+06  6.38878e+06
      44.3500      209744.  1.03135e+06
      44.4500      206461.      779504.
      44.5500      206945.      780460.
      44.6500      207422.      781396.
      44.7500      207889.      782303.
      44.8500      208360.      783226.
      44.9500      208821.      784123.
      45.0500      209277.      785003.
      45.1500      209727.      785868.
      45.2500  2.07936e+06  5.38091e+06
      45.3500      214421.      810084.
      45.4500      211052.      788730.
      45.5500  1.28773e+06  4.63587e+06
      45.6500  2.36660e+06  8.46439e+06
      45.7500      212334.      790806.
      45.8500      212759.      791613.
      45.9500  1.00535e+06  2.73778e+06
      46.0500      213587.      793150.
      46.1500      213997.      793908.
      46.2500  1.52887e+06  4.77185e+06
      46.3500      214803.      795387.
      46.4500  1.53280e+06  4.78279e+06
      46.5500      215597.      796836.
      46.6500      829070.  3.17788e+06
      46.7500      216372.      798231.
      46.8500      216762.      798940.
      46.9500      217144.      799622.
      47.0500      217523.      800302.
      47.1500      254235.      917159.
      47.2500  1.54112e+06  4.77153e+06
      47.3500      218644.      802283.
      47.4500  4.84800e+06  1.24916e+07
